Wall time,Step,Value
1598945205.836201,0,0.0892726331949234
1598945352.158762,1,0.2870425283908844
1598945512.890716,2,1.0884321928024292
1598945666.168028,3,0.7771857380867004
1598945693.801162,4,-0.5
1598945820.112862,5,0.48313698172569275
1598945936.278427,6,1.3133927583694458
1598946087.645349,7,0.1648285835981369
1598946216.399504,8,0.4279630482196808
1598946363.566443,9,-1.1276755332946777
1598946510.399288,10,-0.05652131140232086
1598946649.364661,11,0.2308659702539444
1598946781.953383,12,0.790283203125
1598946913.364146,13,0.4165708124637604
1598947045.063424,14,0.3722298741340637
1598947193.707706,15,-0.7316248416900635
1598947317.251636,16,1.0533742904663086
1598947430.017924,17,1.4417181015014648
1598947596.683547,18,0.18712936341762543
1598947728.249518,19,0.04454447701573372
1598947858.02764,20,0.35680273175239563
1598947994.726652,21,0.3624049425125122
1598948132.993013,22,0.986726701259613
1598948272.148346,23,0.5772183537483215
1598948378.0701,24,1.1891124248504639
1598948507.824016,25,1.3277593851089478
1598948627.880392,26,1.625544548034668
1598948774.934587,27,-0.2259560227394104
1598948917.089825,28,0.7670789957046509
1598949046.111701,29,1.251129388809204
1598949173.522447,30,1.4355860948562622
1598949301.989025,31,1.0124680995941162
1598949429.888828,32,1.28318190574646
1598949582.066013,33,0.49150702357292175
1598949702.743668,34,0.7458581328392029
1598949823.698181,35,1.523149013519287
1598949959.887014,36,0.7274954319000244
1598950095.119329,37,1.3996379375457764
1598950224.308789,38,1.1532264947891235
1598950345.041279,39,1.1386523246765137
1598950465.441043,40,1.4416476488113403
1598950587.096134,41,1.4491682052612305
1598950707.7617,42,1.4913444519042969
1598950845.395502,43,1.156732439994812
1598950958.094959,44,1.2415294647216797
1598951101.383452,45,0.6956313848495483
1598951229.804731,46,1.3014414310455322
1598951382.471528,47,0.7929145097732544
1598951503.726099,48,1.0794484615325928
1598951648.015016,49,1.194577932357788
1598951768.803142,50,1.0513631105422974
1598951915.302707,51,0.6189106702804565
1598952044.280037,52,1.324540615081787
1598952167.068767,53,1.1979655027389526
1598952279.557354,54,1.740522861480713
1598952420.557006,55,0.8886931538581848
1598952558.411908,56,1.282225489616394
1598952690.322954,57,1.1893855333328247
1598952821.988691,58,1.452807903289795
1598952970.255078,59,0.5197080969810486
1598953110.321388,60,1.0312751531600952
1598953223.1655,61,1.5615935325622559
1598953362.286649,62,0.8692280650138855
1598953484.020337,63,1.4758893251419067
1598953631.219289,64,0.9731913805007935
1598953745.209611,65,1.8047219514846802
1598953876.341152,66,1.145432710647583
1598954015.552017,67,0.797447919845581
1598954180.651376,68,0.6385942697525024
1598954321.78445,69,1.1074419021606445
1598954461.683307,70,0.7110871076583862
1598954612.827348,71,0.8772173523902893
1598954777.827325,72,0.9002965688705444
1598954933.81542,73,0.2564409077167511
1598955071.293142,74,0.7913832664489746
1598955243.726045,75,0.29227179288864136
1598955391.536025,76,0.8407758474349976
1598955537.236312,77,0.3074546754360199
1598955694.202625,78,0.49161607027053833
1598955822.357344,79,1.1584705114364624
1598955979.156625,80,0.5165574550628662
1598956135.201397,81,0.854361355304718
1598956272.322333,82,0.730817973613739
1598956763.238775,83,0.7526865005493164
1598957445.76892,84,0.4295687973499298
1598957902.523274,85,1.1222854852676392
1598969632.226928,86,0.9678789377212524
1598969767.238404,87,0.16987985372543335
1598969870.381951,88,1.340563416481018
1598970015.870688,89,0.7605013251304626
1598970166.781086,90,0.21027103066444397
1598970286.291282,91,0.8642896413803101
1598970415.257404,92,1.6360375881195068
1598970575.668363,93,1.4348149299621582
1598970720.545235,94,0.8770936727523804
1598970857.167149,95,0.2626480460166931
1598970966.932759,96,1.133517861366272
1598971069.999171,97,1.154557466506958
1598971231.242805,98,0.7023439407348633
1598971360.308856,99,1.254067301750183
